Gmt time,Open,High,Low,Close,Volume
15.03.2021 00:00:00.000,1.19501,1.19674,1.19110,1.19263,121796.117
16.03.2021 00:00:00.000,1.19263,1.19518,1.18819,1.19020,127974.59580000001
17.03.2021 00:00:00.000,1.19018,1.19873,1.18861,1.19825,137365.59780000002
18.03.2021 00:00:00.000,1.19827,1.19888,1.19061,1.19174,178340.08179999999
19.03.2021 00:00:00.000,1.19175,1.19371,1.18738,1.19031,135306.2807
20.03.2021 00:00:00.000,1.19031,1.19031,1.19031,1.19031,0
21.03.2021 00:00:00.000,1.18712,1.18900,1.18708,1.18835,7679.5
22.03.2021 00:00:00.000,1.18837,1.19468,1.18744,1.19322,113512.64259999999
23.03.2021 00:00:00.000,1.19323,1.19407,1.18360,1.18396,123346.47030000003
24.03.2021 00:00:00.000,1.18399,1.18508,1.18089,1.18127,126095.36929999999
25.03.2021 00:00:00.000,1.18128,1.18277,1.17617,1.17756,137243.33539999998
26.03.2021 00:00:00.000,1.17756,1.18049,1.17716,1.17918,94770.2411
27.03.2021 00:00:00.000,1.17918,1.17918,1.17918,1.17918,0
28.03.2021 00:00:00.000,1.17917,1.17935,1.17855,1.17874,3732.0348999999997
29.03.2021 00:00:00.000,1.17874,1.17939,1.17606,1.17685,107822.28589999997
30.03.2021 00:00:00.000,1.17684,1.17737,1.17112,1.17231,101727.78929999999
31.03.2021 00:00:00.000,1.17230,1.17598,1.17040,1.17270,108988.6351
01.04.2021 00:00:00.000,1.17271,1.17825,1.17125,1.17772,100309.9147
02.04.2021 00:00:00.000,1.17772,1.17866,1.17490,1.17603,70427.388
03.04.2021 00:00:00.000,1.17603,1.17603,1.17603,1.17603,0
04.04.2021 00:00:00.000,1.17544,1.17678,1.17532,1.17676,5377.8649000000005
05.04.2021 00:00:00.000,1.17674,1.18194,1.17379,1.18169,60541.96079999999
06.04.2021 00:00:00.000,1.18168,1.18776,1.17951,1.18737,92598.87150000001
07.04.2021 00:00:00.000,1.18737,1.19147,1.18608,1.18723,94196.8684
08.04.2021 00:00:00.000,1.18724,1.19274,1.18609,1.19153,88307.42709999999
09.04.2021 00:00:00.000,1.19151,1.19201,1.18669,1.18977,83829.3201
10.04.2021 00:00:00.000,1.18977,1.18977,1.18977,1.18977,0
11.04.2021 00:00:00.000,1.18903,1.19038,1.18901,1.18958,3354.3898
12.04.2021 00:00:00.000,1.18957,1.19190,1.18710,1.19115,79048.3701
13.04.2021 00:00:00.000,1.19117,1.19557,1.18776,1.19538,99118.29419999999
14.04.2021 00:00:00.000,1.19541,1.19872,1.19509,1.19832,94040.08479999998
15.04.2021 00:00:00.000,1.19830,1.19932,1.19560,1.19692,88820.23960000002
16.04.2021 00:00:00.000,1.19692,1.19946,1.19503,1.19805,76098.21999999999
17.04.2021 00:00:00.000,1.19805,1.19805,1.19805,1.19805,0
18.04.2021 00:00:00.000,1.19722,1.19771,1.19679,1.19689,3320.6859
19.04.2021 00:00:00.000,1.19688,1.20480,1.19424,1.20424,97833.74769999998
20.04.2021 00:00:00.000,1.20424,1.20797,1.20224,1.20324,97173.22010000002
21.04.2021 00:00:00.000,1.20323,1.20436,1.19985,1.20372,85542.39869999999
22.04.2021 00:00:00.000,1.20372,1.20694,1.19936,1.20143,106768.76049999999
23.04.2021 00:00:00.000,1.20144,1.20999,1.20127,1.20938,80323.6202
24.04.2021 00:00:00.000,1.20938,1.20938,1.20938,1.20938,0
25.04.2021 00:00:00.000,1.20913,1.20981,1.20888,1.20892,3822.6799999999994
26.04.2021 00:00:00.000,1.20893,1.21167,1.20608,1.20793,79990.14670000001
27.04.2021 00:00:00.000,1.20794,1.20927,1.20567,1.20892,81974.39970000002
28.04.2021 00:00:00.000,1.20890,1.21353,1.20560,1.21348,104873.5331
29.04.2021 00:00:00.000,1.21350,1.21498,1.21021,1.21245,99067.90889999998
30.04.2021 00:00:00.000,1.21243,1.21265,1.20165,1.20169,97894.5102
01.05.2021 00:00:00.000,1.20169,1.20169,1.20169,1.20169,0
02.05.2021 00:00:00.000,1.20309,1.20328,1.20245,1.20271,2660.924
03.05.2021 00:00:00.000,1.20272,1.20760,1.20130,1.20588,81052.3254
04.05.2021 00:00:00.000,1.20590,1.20598,1.19989,1.20144,108198.11429999999
05.05.2021 00:00:00.000,1.20145,1.20265,1.19859,1.20074,83296.6482
06.05.2021 00:00:00.000,1.20076,1.20716,1.19929,1.20651,94613.4919
07.05.2021 00:00:00.000,1.20651,1.21713,1.20527,1.21615,128365.68960000001
08.05.2021 00:00:00.000,1.21615,1.21615,1.21615,1.21615,0
09.05.2021 00:00:00.000,1.21601,1.21769,1.21600,1.21704,5874.5951000000005
10.05.2021 00:00:00.000,1.21704,1.21782,1.21271,1.21405,99020.75430000002
11.05.2021 00:00:00.000,1.21406,1.21815,1.21230,1.21440,104612.22430000002
12.05.2021 00:00:00.000,1.21441,1.21520,1.20655,1.20777,164454.8855
13.05.2021 00:00:00.000,1.20776,1.21060,1.20514,1.20767,123832.65220000001
14.05.2021 00:00:00.000,1.20768,1.21477,1.20708,1.21420,97519.58960000002
15.05.2021 00:00:00.000,1.21420,1.21420,1.21420,1.21420,0
16.05.2021 00:00:00.000,1.21450,1.21511,1.21368,1.21498,2788.83
17.05.2021 00:00:00.000,1.21497,1.21687,1.21259,1.21563,81134.36450000001
18.05.2021 00:00:00.000,1.21561,1.22339,1.21534,1.22223,95033.83039999999
19.05.2021 00:00:00.000,1.22225,1.22451,1.21598,1.21704,122026.23319999999
20.05.2021 00:00:00.000,1.21704,1.22300,1.21689,1.22249,91295.2904
21.05.2021 00:00:00.000,1.22250,1.22396,1.21607,1.21778,95459.74070000001
22.05.2021 00:00:00.000,1.21778,1.21778,1.21778,1.21778,0
23.05.2021 00:00:00.000,1.21778,1.21843,1.21722,1.21805,4772.2781
24.05.2021 00:00:00.000,1.21805,1.22298,1.21749,1.22140,79873.03139999999
25.05.2021 00:00:00.000,1.22140,1.22664,1.22113,1.22468,96703.55030000002
26.05.2021 00:00:00.000,1.22468,1.22629,1.21820,1.21920,90989.68070000001
27.05.2021 00:00:00.000,1.21920,1.22149,1.21751,1.21927,86079.3196
28.05.2021 00:00:00.000,1.21927,1.22048,1.21325,1.21905,95929.6894
29.05.2021 00:00:00.000,1.21905,1.21905,1.21905,1.21905,0
30.05.2021 00:00:00.000,1.21990,1.21998,1.21890,1.21892,2690.425
31.05.2021 00:00:00.000,1.21893,1.22343,1.21832,1.22325,58569.889599999995
01.06.2021 00:00:00.000,1.22325,1.22542,1.22110,1.22174,81726.64509999998
02.06.2021 00:00:00.000,1.22172,1.22265,1.21640,1.22094,77789.7047
03.06.2021 00:00:00.000,1.22094,1.22141,1.21181,1.21300,97645.1464
04.06.2021 00:00:00.000,1.21299,1.21856,1.21039,1.21644,91499.62110000002
05.06.2021 00:00:00.000,1.21644,1.21644,1.21644,1.21644,0
06.06.2021 00:00:00.000,1.21601,1.21676,1.21596,1.21666,2331.7200000000003
07.06.2021 00:00:00.000,1.21665,1.22017,1.21448,1.21905,56767.001500000006
08.06.2021 00:00:00.000,1.21905,1.21941,1.21642,1.21724,76115.2341
09.06.2021 00:00:00.000,1.21725,1.22179,1.21714,1.21784,53522.5743
10.06.2021 00:00:00.000,1.21782,1.21945,1.21433,1.21725,114796.2702
11.06.2021 00:00:00.000,1.21726,1.21929,1.20925,1.21072,76244.19949999999
12.06.2021 00:00:00.000,1.21072,1.21072,1.21072,1.21072,0
13.06.2021 00:00:00.000,1.21045,1.21121,1.21027,1.21095,3083.8300999999997
14.06.2021 00:00:00.000,1.21096,1.21305,1.20942,1.21218,56985.0451
15.06.2021 00:00:00.000,1.21218,1.21473,1.21013,1.21245,69731.52
